2021-01-05 06:08:00	0	Richard Cooper	0x0												283.43949044585986																			974		link	588				False				378		False			19		99.36305732484077	
2021-01-20 05:01:00	1	Ricardo Northcutt	0x1												67.19745222929936																			853		loops	416				True				685		False			992		191.08280254777068	
2021-01-07 05:03:00	2	Naomi Bowles	0x3												214.3312101910828																			80		zshops	922				True				887		False			576		149.04458598726114	
2021-01-18 02:48:00	3	Ryan Manor	0x4												229.29936305732483																			76		promotions	437				True				450		False			819		289.4904458598726	
2021-01-16 03:40:00	4	Jean Landsman	0x6												299.68152866242036																			107		hardwood	216				False				33		True			541		112.10191082802547	
2021-01-15 09:20:00	5	Douglas Moyer	0x8												133.7579617834395																			131		eleven	229				True				453		True			107		163.37579617834393	
2021-01-20 01:27:00	6	Rosy Kelly	0x9												13.375796178343949																			951		bathroom	53				True				204		True			181		264.6496815286624	
2021-01-21 00:33:00	7	Ila Margo	0xb												255.7324840764331																			521		rep	222				True				669		False			118		69.10828025477707	
2021-01-17 00:13:00	8	Carol Zoll	0xc												312.10191082802544																			1		vary	604				False				488		False			440		193.63057324840764	
2021-01-13 03:17:00	9	Shawn Kinder	0xe												268.78980891719743																			444		uruguay	983				False				541		False			870		210.19108280254775	
2021-01-28 10:17:00	10	John Scott	0x10												21.337579617834393																			879		minor	586				False				590		False			912		163.69426751592357	
2021-01-11 10:55:00	11	Lisa Beddingfield	0x11												55.73248407643312																			981		presidential	76				False				390		False			836		254.77707006369425	
2021-01-22 10:04:00	12	Reginald Wilson	0x13												179.93630573248407																			326		sufficiently	190				False				297		True			583		221.656050955414	
2021-01-15 07:57:00	13	Charles Weist	0x14												234.0764331210191																			921		broader	502				False				500		False			86		246.17834394904457	
2021-01-09 08:39:00	14	Edith Harding	0x16												107.96178343949045																			855		search	762				True				598		False			798		305.4140127388535	
2021-01-22 10:15:00	15	John Smith	0x18												58.28025477707006																			556		bored	235				False				34		False			429		95.85987261146497	
2021-01-25 02:43:00	16	Catherine Jackson	0x19												266.2420382165605																			486		counting	217				False				919		False			830		178.6624203821656	
2021-01-12 00:12:00	17	Walter Lowery	0x1b												86.94267515923566																			829		sally	365				True				94		False			968		295.54140127388536	
2021-01-22 02:04:00	18	Ramiro Martinez	0x1c												166.87898089171975																			401		deviant	654				True				657		True			105		293.63057324840764	
2021-01-28 10:09:00	19	Michael Mathews	0x1e												171.656050955414																			915		medical	159				True				670		False			685		39.808917197452224	
